run_id,stage,result_type,model_family,model_id,input_source,crop_policy,selection_protocol,parse_success,schema_valid,accuracy,macro_f1,recall_insulator_ok,recall_defect_flashover,recall_defect_broken,notes
stage4_dinov2_cvgrid_C1_secondbest038,stage4_hybrid,clean_traincv_policy_negative,dinov2_linear_probe_plus_qwen_reporter_policy,facebook/dinov2-base LogisticRegression C=1.0 balanced + train-CV flashover second-best fallback + Qwen reporter,detector_pred_crops,pred_context_pad030_maxpix401k,C=1.0 threshold=0.38 selected by train OOF macro-F1 before Stage4 val application,1.0,1.0,0.5345_pipeline_correct,see case table,nan,nan,nan,"negative/secondary result: broader C-grid train-CV selected C=1.0,t=0.38 but underperformed C=0.03,t=0.35 champion (31/58 vs 34/58)"
stage3_vlm_backbone_qwen25vl_3b_control,stage3,frozen_vlm_comparison,frozen_vlm,Qwen/Qwen2.5-VL-3B-Instruct,gt_crops,gt_crop_existing,same clean Stage 3 protocol as Qwen control,1.0,1.0,0.4827586206896552,0.2946488294314381,,,,BASELINE_ANCHOR
stage3_vlm_backbone_internvl3_2b_base,stage3,frozen_vlm_comparison,frozen_vlm,OpenGVLab/InternVL3-2B-hf,gt_crops,gt_crop_existing,same clean Stage 3 protocol as Qwen control,1.0,1.0,0.5517241379310345,0.28527492408089417,,,,BEST_RAW_ACC_NOT_PROMOTED
stage3_vlm_backbone_internvl3_2b_defect_recall,stage3,frozen_vlm_comparison,frozen_vlm,OpenGVLab/InternVL3-2B-hf + defect recall addendum,gt_crops,gt_crop_existing,same clean Stage 3 protocol as Qwen control,1.0,1.0,0.39655172413793105,0.22550348953140578,,,,FAILED_OVERCALL_DEFECTS
stage3_vlm_backbone_internvl3_2b_balanced_defect,stage3,frozen_vlm_comparison,frozen_vlm,OpenGVLab/InternVL3-2B-hf + balanced addendum,gt_crops,gt_crop_existing,same clean Stage 3 protocol as Qwen control,1.0,1.0,0.5,0.23157894736842102,,,,FAILED_LOW_DEFECT_RECALL
stage3_vlm_backbone_llava_onevision_qwen2_0_5b,stage3,frozen_vlm_comparison,frozen_vlm,llava-hf/llava-onevision-qwen2-0.5b-ov-hf,gt_crops,gt_crop_existing,same clean Stage 3 protocol as Qwen control,0.7931034482758621,0.2413793103448276,0.1206896551724138,0.06086956521739131,,,,FAILED_SCHEMA_OR_SEMANTICS
stage3_vlm_backbone_smolvlm2_2b_instruct,stage3,frozen_vlm_comparison,frozen_vlm,HuggingFaceTB/SmolVLM2-2.2B-Instruct,gt_crops,gt_crop_existing,same clean Stage 3 protocol as Qwen control,0.0,0.0,0.0,0.0,,,,FAILED_PARSE
stage3_vlm_backbone_smolvlm2_500m_video_instruct,stage3,frozen_vlm_comparison,frozen_vlm,HuggingFaceTB/SmolVLM2-500M-Video-Instruct,gt_crops,gt_crop_existing,same clean Stage 3 protocol as Qwen control,0.603448275862069,0.603448275862069,0.3275862068965517,0.11343283582089551,,,,FAILED_CLASS_COLLAPSE
stage3_vlm_backbone_phi35_vision_instruct,stage3,frozen_vlm_comparison,frozen_vlm,microsoft/Phi-3.5-vision-instruct,gt_crops,gt_crop_existing,same clean Stage 3 protocol as Qwen control,0,0,0,0,,,,NOT_RUN_GENERIC_PIPELINE_INCOMPATIBLE
stage3_qwen25vl_lora_sft_repair_clean_corrected,stage3_lora,negative_adaptation_result,qwen_lora_sft,Qwen/Qwen2.5-VL-3B-Instruct,gt_crops,gt_crop_existing,assistant-only label masking and corrected evaluation,1.0,1.0,0.5172413793103449,0.15794085432639648,,,,not_promoted_class_collapse_to_insulator_ok
